,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ein,average_female_salary,average_male_salary,pay_gap,percent_male,percent_female,avg_employee_comp,highest_salary,total_compensation,web_address,num_employees,total_revenue,org_name,HighestCompensatedEmployeeInd_percent_female,IndividualTrusteeOrDirectorInd_percent_female,OfficerInd_percent_female,KeyEmployeeInd_percent_female,FormerOfcrDirectorTrusteeInd_percent_female
10794,12439,29058,1082250,274327126.0,193921.5,311806.3333333333,37.8070682763553,75.0,25.0,38607.91216216216,608573.0,7458146.0,WWW.OTGRIDES.ORG AND WWW.CAREASY.ORG,156,21093169.0,CHARITABLE ADULT RIDES & SERVICES,40.0,25.0,33.33333333333333,,
10795,12440,29059,1082356,274349643.0,0.0,177926.0,100.0,100.0,0.0,20224.634146341465,177926.0,1836346.0,www.urbanadamah.org,83,2648200.0,Urban Adamah,,61.53846153846154,60.0,,
10799,12444,29075,1083201,274549127.0,175468.0,194260.4285714285,9.673832550265738,87.5,12.5,41143.77737988661,310721.0,139408089.0,WWW.ILTEXAS.ORG,3359,248187019.0,INTERNATIONAL LEADERSHIP OF TEXAS INC,,25.0,16.666666666666664,,
10800,12445,29077,1083384,274586359.0,153166.0,213721.2,28.33373572673184,83.33333333333334,16.666666666666664,15671.929328621907,322351.0,5656928.0,MISSIONHILLSCC.COM,289,12104303.0,MISSION HILLS COUNTRY CLUB,20.0,40.0,20.0,50.0,
10804,12450,29090,1084351,274855978.0,188970.5,209538.0,9.815642031516957,60.0,40.0,92620.42153846154,284014.0,32114747.0,HTTPS://WWW.ECRCHS.NET/,335,50661252.0,EL CAMINO REAL ALLIANCE,20.0,50.0,40.0,66.66666666666666,
10805,12453,29095,1084454,274878116.0,248622.5,0.0,-1.0,0.0,100.0,46033.96721311475,323483.0,11729533.0,www.STEMk12.org,246,18442277.0,KOSON Schools,,60.0,57.14285714285714,,
10806,12454,29101,1084601,274971660.0,153720.0,0.0,-1.0,0.0,100.0,31277.830769230768,153720.0,2186779.0,www.niwrc.org,66,8869353.0,NATIONAL INDIGENOUS WOMENS RESOURCECENTER INC,,100.0,100.0,,
10808,12456,29104,1084723,275021562.0,156016.0,0.0,-1.0,0.0,100.0,22780.60606060606,156016.0,3163056.0,WWW.GVASCHOOLS.ORG,133,9941833.0,GLOBAL VILLAGE ACADEMYNORTHGLENN,100.0,0.0,75.0,,
10809,12457,29108,1084982,275105360.0,167312.0,45234.5,-269.8769744332313,66.66666666666666,33.33333333333333,25225.78723404256,85430.0,1276081.0,,50,1450053.0,HEALTHE KIDS INSTITUTE,25.0,,66.66666666666666,,
10810,12458,29110,1085153,275219467.0,206457.0,192818.25,-7.073370907577472,80.0,20.0,30597.30144927536,227653.0,11533799.0,HTTPS://WWW.K9SFORWARRIORS.ORG,350,21631766.0,K9S FOR WARRIORS INC,0.0,0.0,25.0,,0.0
